Artist,Album,Track,Duration
Taylor Swift,It's Not Me It's You [Special Edition],22,3:51
Britney Spears,Blackout,Piece of Me,3:32
Panic! at the Disco,A Fever You Can't Sweat Out,I Write Sins Not Tragedies,3:06
Lana Del Rey,Music From Baz Luhrmann's Film The Great Gatsby,Young and Beautiful,3:47
CHVRCHES,Every Open Eye,Clearest Blue,3:53
Javiera Mena,Mena,Primera Estrella,4:08
Alex Anwandter,Rebeldes,Shanana,4:26
Tila Tequila,Stripper Friends,Stripper Friends,3:25
Teleradio Donoso,bailar y llorar,Granada,4:19
Owl City,Ocean Eyes,Fireflies,3:48
Shakira,Fijación Oral Volumen 1,La Tortura,3:35
Justin Bieber,Purpose (Deluxe),What Do You Mean?,3:24
Rihanna,Loud,Only Girl (In the World),3:55
One Direction,Up All Night,What Makes You Beautiful,3:17
Lady Gaga,The Fame Monster,Telephone (feat. Beyoncé),3:41
Literature,Chorus,New Jacket,3:18
The All-American Rejects,Move Along,Dirty Little Secret,3:14
Tony Dize,La Melodia De La Calle,Permitame,3:07
De Saloon,Abrazame,Déjalo,3:39
blink-182,blink-182 (UK Tour Edition),Feeling This,2:52
Belanova,Dulce Beat,Rosa Pastel,3:06
Fármacos,Los Días Más Largos,Despegarte de Mí,3:42
Javiera Mena,Otra Era,Los olores de tu alma,5:00
The Kooks,Inside In / Inside Out,Seaside,1:39
OK Go,Oh No,Here It Goes Again,3:25
Spice Girls,Spiceworld,Spice Up Your Life,2:53
Madonna,Celebration (double disc version),Holiday,6:08
One Direction,Midnight Memories (Deluxe),Story of My Life,4:04
Róisín Murphy,Overpowered,Overpowered,5:08
Cansei de Ser Sexy,Donkey,Move,3:53
Yelle,Complètement Fou,Un Jour Viendra,3:31
Alvvays,Antisocialites,Dreams Tonite,3:16
The Kooks,Junk of the Heart,Junk of the Heart (Happy),3:08
Grimes,Visions,Genesis,4:15
The Pretenders,Pretenders [Expanded & Remastered],Brass In Pocket - 2006 Remastered Version,3:05
Shawn Mendes,Illuminate (Deluxe),There's Nothing Holdin' Me Back,3:19
The 1975,I Like It When You Sleep For You Are So Beautiful Yet So Unaware Of It,Somebody Else,5:47
Lorde,Melodrama,Perfect Places,3:41
Jonas Blue,Perfect Strangers,Perfect Strangers,3:16
Raffaella carrà,Tutto Carra',En el Amor Todo Es Empezar (A far l'amore comincia tu) - Spanish Version,2:44
Death Cab for Cutie,Kintsugi,No Room In Frame,4:07
Britney Spears,Britney Jean (Deluxe Version),Now That I Found You,4:16
Marineros,El Lado Oscuro de Tu Corazón,El lado oscuro de tu corazón,3:42
Supernova,Supernova,Tu Y Yo,3:59
Florence + the Machine,Lungs (Deluxe Edition),Dog Days Are Over,4:13
Death Cab for Cutie,Narrow Stairs,Your New Twin Sized Bed,3:06
Death Cab for Cutie,Kintsugi,Good Help (Is So Hard to Find),4:47
Goldspot,Good News For People Who Love Bad News,Float On,2:39
Javiera Mena,Otra Era,La Joya,3:27
Sugarcult,Palm Trees and Power Lines,Memory,3:43
The Academy Is...,Fast Times At Barrington High,Summer Hair = Forever Young,3:38
Modest Mouse,Good News For People Who Love Bad News,Ocean Breathes Salty,3:47
Marineros,O marineros,Secretos,3:55
Boys Like Girls,Love Drunk,Love Drunk,3:52
Lily Allen,It's Not Me It's You (Special Edition),Who'd Have Known,3:52
Lily Allen,Sheezus (Deluxe Edition),Air Balloon,3:48
Death Cab for Cutie,Kintsugi,You've Haunted Me All My Life,4:16
Death Cab for Cutie,Something About Airplanes,Champagne From a Paper Cup,2:38
Death Cab for Cutie,The Photo Album,Blacking Out the Friction,3:27
Death Cab for Cutie,The Open Door EP,My Mirror Speaks,3:33
Death Cab for Cutie,Narrow Stairs,The Ice Is Getting Thinner,3:45
Death Cab for Cutie,Narrow Stairs,Grapevine Fires,4:08
Miley Cyrus,Younger Now,Malibu,3:52
Lily Allen,It's Not Me It's You [Special Edition],Chinese,3:28
Death Cab for Cutie,The Death Cab for Cutie Forbidden Love EP,Photobooth,3:46
Lana Del Rey,Ultraviolence (Deluxe),Florida Kilos,4:16
will.i.am,#willpower (Deluxe),Scream & Shout,4:42
Black Eyed Peas,Monkey Business,My Humps,5:26
Sia,Cheap Thrills,Cheap Thrills,3:31
Far East Movement,Free Wired,Like A G6,3:37
Black Eyed Peas,Monkey Business,Pump It,3:33
Usher,Confessions,Yeah!,4:10
Justin Timberlake,Man of the Woods,Supplies,3:45
Editors,Violence,Cold,3:38
Klaxons,Surfing the Void,Echoes,3:46
Gepe,GP,Fruta y Té,2:54
Talk Talk,It's My Life,It's My Life - 1997 Remastered Version,3:52
A Flock of Seagulls,80s 100 Hits,I Ran,3:56
Alphaville,Big In Japan / Seeds,Big in Japan - original,4:43
Phoenix,Wolfgang Amadeus Phoenix,Rome,4:38
Death Cab for Cutie,Twilight 'Forever' Love Songs From the Twilight Saga,Meet Me on the Equinox,3:44
Britney Spears,Illumination,Sometimes,4:05
Fergie,The Dutchess (Explicit Version),London Bridge,4:01
3OH!3,Want,Don't Trust Me,3:13
Miranda!,El Templo del Pop,Tu juego,4:04
The Libertines,The Libertines,What Became of the Likely Lads,3:20
Crystal Castles,Crystal Castles,Vanished,4:03
Britney Spears,The Essential Britney Spears,I'm A Slave 4 U - Remastered,3:23
Christina Aguilera,Christina Aguilera,What a Girl Wants,4:05
Britney Spears,...Baby One More Time (Digital Deluxe Version),...Baby One More Time,3:30
Phoenix,Alphabetical,Run Run Run,2:25
We Are Scientists,With Love And Squalor,This Scene Is Dead,3:43
Britney Spears,The Essential Britney Spears,3,3:33
Death Cab for Cutie,You Can Play These Songs With Chords,This Charming Man,2:14
Death Cab for Cutie,We Have the Facts and We're Voting Yes,Company Calls,3:19
Death Cab for Cutie,Something About Airplanes,Your Bruise,4:19
Death Cab for Cutie,We Have the Facts and We're Voting Yes,405,3:37
Death Cab for Cutie,The Open Door EP,Little Bribes,2:47
The Wombats,Proudly Present....A Guide To Love Loss & Desperation,Moving To New York,3:33
Babyshambles,Down in Albion,Killamangiro,3:13
TV on the Radio,Dear Science,DLZ,3:49
Pulp,Different Class / Deluxe Edition,Common People,5:51
Javiera Mena,Mena,El Amanecer,3:42
Britney Spears,Circus (Deluxe Version),Circus,3:12
Britney Spears,Circus (Deluxe Version),If U Seek Amy,3:37
Britney Spears,Criminal (Remixes),Criminal - Varsity Team Mixshow,5:22
Britney Spears,Hold It Against Me (Remixes),Hold It Against Me - Funk Generation (Radio Remix),3:48
Britney Spears,Oops!... I Did It Again,Oops!...I Did It Again,3:31
The All-American Rejects,The All-American Rejects,Swing Swing,3:53
Lily Allen,Sheezus (Deluxe Edition),URL Badman,3:39
The Libertines,Anthems For Doomed Youth (Deluxe),You're My Waterloo,4:19
Azealia Banks,Broke with Expensive Taste,Heavy Metal and Reflective,2:36
Madonna,Celebration (double disc version),Material Girl,3:51
Lily Allen,Three,Three,3:39
evening glow,Perfect Harmony EP,Love Tonight,3:59
Destiny's Child,Survivor,Bootylicious,3:29
Javiera Mena,Esquemas juveniles,Yo no te pido la luna,3:43
Tom Jones,Velvet + Steel = Gold - Tom Jones 1964-1969,It's Not Unusual,2:03
Fármacos,Quiero Conocer Tu Mundo,Quiero Conocer Tu Mundo,3:50
CHVRCHES,My Enemy,My Enemy,3:53
Britney Spears,Greatest Hits: My Prerogative,Do Somethin',3:22
Lily Allen,Alright Still [Deluxe],Smile,3:16
Alex Anwandter,Sin Restricciones,Traición,4:16
Supernova,Supernova,Toda La Noche,3:43
Gepe,Hungría,Celosía,4:37
Vicente Fernández,Historia De Un Idolo Vol.II,El Rey,2:34
Dënver,Fuera de Campo,profundidad de campo,3:49
Alex Anwandter,Rebeldes,Felicidad,3:36
Albert Neve,Party,Party,3:11
Martin Solveig,Do It Right,Do It Right,3:33
Disclosure,Bang That,Bang That,5:26
Glasvegas,Glasvegas,It's My Own Cheating Heart That Makes Me Cry,4:25
Banque De France,Ti Amo Diaries A,Early Ti Amo A,0:38
Banque De France,Ti Amo Diaries B,Early J-Boy,0:59
Tom Jones,The Origins,It s Not Unusual,2:26
Sonic Youth,Rather Ripped (International Version),Incinerate,4:55
Arctic Monkeys,AM,Do I Wanna Know?,4:32
The Cure,Wish,Friday I'm in Love,3:39
The Human League,Dare!,Don't You Want Me - 2002 - Remaster,3:57
The Cure,Kiss Me Kiss Me Kiss Me (Deluxe Edition),Why Can't I Be You?,3:11
The Cure,The Head On The Door (Deluxe Edition),Close to Me,3:23
Phoenix,Wolfgang Amadeus Phoenix,Armistice,3:04
The Pains of Being Pure at Heart,When I Dance With You,When I Dance With You,4:47
The Pointer Sisters,Fire! The Very Best of The Pointer Sisters,Jump (For My Love),3:56
Britney Spears,The Essential Britney Spears,Till the World Ends,3:58
Bright Eyes,I'm Wide Awake It's Morning,At the Bottom of Everything,4:34
Rooney,Rooney,I'm Shakin',3:34
Javiera Mena,Otra Era,Espada,4:14
The White Stripes,White Blood Cells,Fell in Love With a Girl,1:50
Lily Allen,Alright Still [Deluxe],LDN,3:10
Rooney,Rooney,Blueside,3:18
Beulah,The O.C. Vol. 2 (U.S. Version),Popular Mechanics for Lovers,3:04
Bright Eyes,I'm Wide Awake It's Morning,Road to Joy,3:54
Youth Group,Casino Twilight Dogs,Forever Young,4:31
The Clash,Hits Back,I Fought the Law,2:26
Tix,Habbo Club 2015,Habbo Club 2015,3:08
Gabriella Cilmi,The Sting,Left With Someone Else,3:15
Gabriella Cilmi,Lessons to Be Learned,Sweet About Me,3:16
Bendik,Perfekt,Perfekt,3:20
Shakira,Grandes Exitos,Si te vas,3:38
Britney Spears,The Essential Britney Spears,Womanizer - Remastered,3:43
Gepe,Audiovisión,12 Minerales,3:32
Britney Spears,The Essential Britney Spears,Hold It Against Me,3:49
Lily Allen,It's Not Me It's You [Special Edition],Back to the Start,4:14
Lily Allen,It's Not Me It's You [Special Edition],He Wasn't There,2:52
Marineros,O marineros,Espero,4:26
Miranda!,Sin Restricciones,Vuelve a ti,2:58
Paris Hilton,Paris (U.S. Standard Version),Stars Are Blind,3:58
Two Door Cinema Club,Beacon,Sun,3:04
Phoenix,Alphabetical,Everything Is Everything,3:00
The Jesus and Mary Chain,Damage and Joy,The Two of Us,4:12
The Kooks,Inside In / Inside Out,She Moves in Her Own Way,2:49
Violeta Parra,El Folklore Y La Pasión,La jardinera,1:54
Sonic Youth,Daydream Nation (Deluxe Edition),Teen Age Riot (album version),6:58
The Smiths,The Queen Is Dead,Bigmouth Strikes Again - 2011 Remastered Version,3:13
Bloc Party,Silent Alarm (U.S. Version),This Modern Love,4:25
Two Door Cinema Club,Tourist History,What You Know,3:11
Bombay Bicycle Club,Evening/Morning,You Already Know,4:21
Javiera Mena,Esquemas juveniles,Casan (No puedo bloquear lo que quiero dar),4:30
Britney Spears,Blackout,Radar,3:49
Planeta No,Odio,Odio,3:09
Ariana Grande,My Everything (Deluxe),Problem,3:13
Soda Stereo,Obras Cumbres (Parte 2),Danza Rota,3:35
Drake,Nothing Was The Same (Deluxe),Hold On We're Going Home,3:43
Elvis Presley,Elvis 30 #1 Hits,(Marie's the Name) His Latest Flame,2:06
Dënver,Sangre Cita,Noche profunda,3:05
The All-American Rejects,Move Along,Move Along,3:59
Daughtry,Daughtry (Deluxe Edition),It's Not Over,3:35
blink-182,Enema of the State,What's My Age Again?,2:28
Morrissey,Viva Hate [2011 - Remaster] (2011 Remastered Version),Suedehead - 2011 Remastered Version,3:55
blink-182,blink-182,Always,4:17
All Time Low,So Wrong It's Right (Deluxe Version),Remembering Sunday,4:16
Boys Like Girls,Boys Like Girls,Hero/Heroine,3:44
Marineros,O marineros,Oh Oh,3:33
The Knocks,55,Purple Eyes (Feat. Phoebe Ryan),3:03
Alex Anwandter,Amiga,Cordillera,4:22
Shakira,Laundry Service,Eyes Like Yours (Ojos Así),3:58
Javiera Mena,Esquemas juveniles,Esquemas juveniles,3:34
Four Year Strong,Little Voice,Love Song,3:03
Mayday Parade,Doll Domination (Revised International Version),When I Grow Up,3:38
Phoenix,Ti Amo,Lovelife,2:29
Escape the Fate,Supernatural (Remastered),Smooth,3:58
Los Prisioneros,La Voz de los '80 (Edición 30 Años),Mentalidad Televisiva,4:16
Arctic Monkeys,AM,Why'd You Only Call Me When You're High?,2:41
Phoenix,Wolfgang Amadeus Phoenix,Lasso,2:48
Phoenix,Bankrupt!,S.O.S. in Bel Air,3:43
Phoenix,Bankrupt! (Deluxe),Bankrupt!,6:57
Phoenix,United,School's Rules,1:31
Phoenix,Wolfgang Amadeus Phoenix,Love Like a Sunset Part I,5:38
Phoenix,Alphabetical,Congratulations - Revisited,1:07
Phoenix,Bankrupt!,The Real Thing,3:23
Phoenix,Ti Amo,Via Veneto,2:41
Phoenix,Alphabetical,Love for Granted,4:24
Phoenix,Bankrupt! (Deluxe),Drakkar Noir,3:22
Phoenix,Wolfgang Amadeus Phoenix,Love Like a Sunset Part II,1:56
Phoenix,It's Never Been Like That (Deluxe Version),Napoleon Says,3:13
Phoenix,United,Funky Squaredance (Part 1/2/3) (Medley),9:39
Phoenix,Bankrupt!,Oblique City,3:30
Phoenix,It's Never Been Like That,Courtesy Laughs,3:14
Phoenix,It's Never Been Like That (Deluxe Version),Napoleon Says (Live),3:03
Phoenix,It's Never Been Like That (Deluxe Version),Sometimes In The Fall (Live),6:07
Miranda!,Es Mentira,Imán,4:18
Miranda!,Magistral,Dice Lo Que Siente,3:30
Miranda!,Miranda es imposible!,Lo que siento por ti,3:12
Miranda!,Es Mentira,Mentira,3:53
Miranda!,Fuerte,En Esta Noche,2:53
Miranda!,Miranda es imposible!,El Showcito,3:16
Dënver,Música Gramática Gimnasia,Lo que quieras,4:31
Michael Jackson,Michael Jackson's This Is It,Beat It - Single Version,4:18
Men at Work,The Best Of Men At Work: Contraband,Down Under,3:44
Fleetwood Mac,Tango in the Night,Everywhere,3:41
Miguel Bosé,Bandido,Amante Bandido,4:31
Miguel Bosé,Sereno,Morena Mía,4:51
Nelly Furtado,Live Lounge 2,Maneater,3:17
Los Prisioneros,Grandes Exitos,¿Quién Mató a Marilyn?,3:09
Pet Shop Boys,Actually: Further Listening 1987-1988,What Have I Done To Deserve This? (With Dusty Springfield) - 2001 Remastered Version,4:20
Taylor Swift,Red,I Knew You Were Trouble.,3:38
Teleradio Donoso,Gran Santiago,Eras mi persona favorita,3:48
New Order,Brotherhood [Collector's Edition],Bizarre Love Triangle,6:42
Yelle,Romeo,Romeo,3:30
Michael Cera,Best I Can (feat. Sharon Van Etten),Best I Can (feat. Sharon Van Etten),3:19
Sonido Gallo Negro,Mambo Cósmico,Mambo Cósmico,3:58
Boom Boom Kid,Okey Dokey,Kitty,1:56
Saba Lou,Until The End - Single,Good Habits (and Bad),2:00
Kate Nash,Made of Bricks (International Version),Merry Happy,5:28
Disclosure,Caracal (Deluxe),Magnets,3:36
Marineros,O marineros,Brisa,4:08
Fármacos,Abril,Abril,3:00
Anni B Sweet,Start Restart Undo (Reedición),Take On Me,3:11
Marineros,O marineros,Submarino,4:45
Jennifer Lopez,On the 6,Let's Get Loud,3:59
Paris Hilton,Good Time,Good Time,3:37
The Veronicas,The Veronicas,If You Love Someone,3:00
Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,Teenage Dream,3:47
Le Tigre,Feminist Sweepstakes,Fake French,2:53
Justice,A Cross The Universe,tthhee ppaarrttyy [live],2:46
Jennifer Lopez,On the Floor,On the Floor (feat. Pitbull),3:51
Tove Lo,Queen of the Clouds,Talking Body,3:58
Beyoncé,B'Day Deluxe Edition,Irreplaceable,3:48
t.A.T.u.,200 KM/H In The Wrong Lane (10th Anniversary Edition),A Simple Motion,2:48
Ana Gabriel,30 Grandes Exitos Un Tu Corazon,Cosas del Amor,4:15
Miley Cyrus,Bangerz (Deluxe Version),We Can't Stop,3:51
Kylie Minogue,Fever (Deluxe Version),Can't Get You Out of My Head,3:51
Phoenix,Ti Amo,Role Model,4:35
Planeta No,Matucana - EP,64,2:28
Blondie,Atomic: The Very Best of Blondie,One Way or Another,3:31
Alexis & Fido,Sobrenatural,5 Letras,3:15
Good Charlotte,Good Charlotte/The Young And The Hopeless,The Anthem,2:55
Britney Spears,Greatest Hits: My Prerogative,My Prerogative,3:33
Miranda!,Fuerte,Lejos de Mi Alcance,3:06
Ying Yang Twins,Kings of Crunk,Get Low,3:34
The Notorious B.I.G.,Life After Death (Deluxe Version),Hypnotize,3:50
Black Eyed Peas,Elephunk,Where Is the Love,4:46
Sean Kingston,Beautiful Girls,Beautiful Girls,4:01
Jessie J,Who You Are (Platinum Edition),Price Tag,3:42
Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,4:03
Pitbull,Planet Pit (Deluxe Version),Give Me Everything,4:12
Chris Brown,F.A.M.E.,Yeah 3X,4:00
Rihanna,Back to Black,Rehab,4:54
Fall Out Boy,Infinity On High (Deluxe Edition),Thnks fr th Mmrs,3:23
Belanova,Dulce Beat,Me Pregunto,3:05
Emilia,Molesto,Molesto,3:51
Musique Le Pop,Turn to sand,Turn to sand,4:06
Broken Bells,It's That Talk Again,It's That Talk Again,4:01
Simple Plan,Still Not Getting Any,Welcome to My Life,4:53
Shakira,MTV Unplugged,Si Te Vas - En Vivo,3:56
Shakira,Live & Off the Record,Si Te Vas - Live,4:37
Shakira,Live From Paris,She Wolf - Live Version,4:19
Willow Smith,21st Century Girl,21st Century Girl,3:01
Beyoncé,4,Run the World (Girls),3:56
The Section Quartet,Give Up,Such Great Heights,4:38
Los Prisioneros,Corazones,Corazones Rojos,3:30
Alesso,Falling,Falling,3:22
Phoenix,Ti Amo,Tuttifrutti,3:52
The Saturdays,On Your Radar,Notorious,3:29
Mika,Life in Cartoon Motion,Love Today,5:40
Peter Bjorn and John,Gimme Some,Second Chance,4:12
The Shins,Oh Inverted World,New Slang,4:34
Foals,Antidotes,Cassius,3:49
OK Go,Hungry Ghosts,I Won't Let You Down,3:42
Lily Allen,It's Not Me It's You,Fuck You,3:43
Alex & Daniel,Alex & Daniel,Mundo Real,4:20
A Flock of Seagulls,Listen,Over The Border,5:02
Orchestral Manoeuvres in the Dark,The OMD Singles,Locomotion,3:46
Dead or Alive,Youthquake,You Spin Me Round (Like a Record),4:27
Eurythmics,Touch,Here Comes The Rain Again,5:05
Lily Allen,Sheezus (Special Edition),Our Time,4:19
Depeche Mode,Speak And Spell (Remastered),Just Can't Get Enough - Remastered,3:40
Depeche Mode,The Singles 86>98,Strangelove,4:56
Pet Shop Boys,Electric,Love Is a Bourgeois Construct,6:41
The Weeknd,Starboy,I Feel It Coming,4:29
Blondie,Best of Blondie,Heart of Glass,3:58
Shakira,Sale el Sol,Rabiosa,2:52
Britney Spears,Greatest Hits: My Prerogative,(You Drive Me) Crazy - The Stop Remix!,3:18
The Smashing Pumpkins,Mellon Collie and the Infinite Sadness (2012 - Remaster),Tonight Tonight,4:19
The La's,The La's,There She Goes,2:42
Good Shoes,Think Before You Speak,Sophia,3:11
Good Shoes,Think Before You Speak,Nazanin,2:05
Good Shoes,No Hope No Future (Bonus Tracks Version),The Way My Heart Beats,2:34
Good Shoes,Think Before You Speak,Small Town Girl,3:39
Pixies,Surfer Rosa (Remastered),Where Is My Mind?,3:42
The Clash,London Calling,Train in Vain - Remastered,3:12
The Cure,Three Imaginary Boys (Deluxe Edition),Boys Don't Cry,2:35
Duran Duran,Duran Duran [The Wedding Album],Come Undone,4:45
Simple Minds,Celebrate Greatest Hits,Don't You (Forget About Me),4:20
Erasure,Chorus,Love to Hate You,3:56
New Order,Get Ready,Crystal,6:51
The Pains of Being Pure at Heart,My Only,My Only,4:58
Orchestral Manoeuvres in the Dark,Crush,Secret,3:57
Pet Shop Boys,Actually: Further Listening 1987-1988,It's A Sin - 2001 Remastered Version,4:59
Kate Nash,Made of Bricks,Foundations,4:05
Cold War Kids,Love Is Mystical,Love Is Mystical,3:34
Ed Sheeran,÷ (Deluxe),Shape of You,3:50
NONONO,We Are Only What We Feel,Pumpin Blood,3:29
Iron & Wine,Give Up,Such Great Heights,4:10
Planeta No,Odio,El campo,3:52
Alex Anwandter,Amiga,Te Enamoraste,4:02
Los Prisioneros,Corazones,Estrechez De Corazón,6:22
Los Prisioneros,Corazones,Cuéntame Una Historia Original,3:46
Los Prisioneros,Corazones,Tren Al Sur,5:35
Dënver,Sangre Cita,Los Vampiros (feat. Me Llamo Sebastián),4:24
Hot Rod,I Like To Fuck,I Like to Fuck,3:12
Kylie Minogue,Fever,In Your Eyes,3:18
Pet Shop Boys,Ultimate,West End Girls,4:01
Miguel Bosé,Colección Definitiva,Fuego,3:26
Aqua,Pop Party (International Version),Barbie Girl,3:16
Pet Shop Boys,Discography: The Complete Singles Collection,Being Boring,4:51
Jimmy Somerville,Homage,This Hand,3:30
Kylie Minogue,Aphrodite,Can't Beat the Feeling,4:11
Belinda Carlisle,Belinda Carlisle - The Collection,Leave a Light On,4:16
ABC,The Lexicon Of Love II,Kiss Me Goodbye,4:53
Kylie Minogue,Light Years,On a Night Like This,3:33
Tears for Fears,My Girls,My Girls,4:36
Johnny Cash,Unearthed,Hurt,3:38
Lana Del Rey,Summer Bummer,Summer Bummer (feat. A$AP Rocky & Playboi Carti),4:20
Dënver,Música Gramática Gimnasia,Diane Keaton,3:52
Dromedarios Mágicos,Estudios Universitarios,Todas Esas Fiestas,3:02
Fifth Harmony,Reflection (Deluxe),Worth It,3:44
Dënver,Música Gramática Gimnasia,Los adolescentes,6:47
Panic! at the Disco,Live In Chicago,Time To Dance - Live In Chicago,3:53
Panic! at the Disco,Live In Chicago,That Green Gentleman [Things Have Changed] - Live In Chicago,3:14
Panic! at the Disco,A Fever You Can't Sweat Out,But It's Better If You Do,3:26
Billy Joel,The Essential Billy Joel,Piano Man,5:36
Panic! at the Disco,Live In Chicago,Lying is the Most Fun a Girl Can Have Without Taking Her Clothes Off - Live In Chicago,3:05
Panic! at the Disco,Live In Chicago,Nine In The Afternoon - Live In Chicago,2:53
Mykki Blanco,Spring/Summer 2014,Wish You Would (feat. Princess Nokia),2:52
Javiera Mena,Esquemas juveniles,Como siempre soñé,4:50
Panic! at the Disco,I Write Sins Not Tragedies,I Write Sins Not Tragedies - MTV VMA Performance 2006,3:32
Lady Gaga,The Fame (Revised International Version),Beautiful Dirty Rich,2:53
Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,Peacock,3:51
The Saturdays,On Your Radar,White Lies,4:04
Ariana Grande,Focus,Focus,3:31
Cholita Sound,ponte free,Choquechinchay El Jaguar,4:00
Lily Allen,It's Not Me It's You,Everyone's at It,4:38
Chetes,Stereotipos - Remixes,Sueños Perfectos,3:49
Ruido Rosa,Ruido Rosa,Miedo a Caer,3:05
Mon Laferte,Mon Laferte (Vol. 1),Tu Falta De Querer,4:39
Supernova,Supernova,Maldito Amor,3:39
Madonna,Celebration,4 Minutes,3:09
Julieta Venegas,Julieta Venegas - MTV Unplugged,Andar Conmigo (Unplugged) (En Vivo),3:59
Dënver,Música Gramática Gimnasia,En Medio De Una Fiesta,3:56
Raffaella carrà,Tutto Carra',0303456,3:21
Phoenix,Ti Amo,Fior Di Latte,4:03
Pet Shop Boys,Discography: The Complete Singles Collection,Domino Dancing,4:18
The Cure,Greatest Hits,Cut Here,4:10
Yelle,Complètement Fou,Ba$$in,2:59
Ke$ha,Cannibal,We R Who We R,3:20
Locomia,Party Time,Party Time,5:50
Selena Gomez,Revival (Deluxe),Same Old Love,3:49
Madonna,Celebration (double disc version),Celebration,7:25
Marina & the Diamonds,The Family Jewels,Oh No!,3:02
tUnE-yArDs,Nikki Nack,Water Fountain,3:03
Sugababes,Change (NON EA VERSION),About You Now,3:32
Lily Allen,It's Not Me It's You [Special Edition],22 (Acoustic),3:08
Dënver,Totoral,Miedo a Toparme Contigo,4:06
Primal Scream,Evil Heat,Some Velvet Morning,3:50
Palito Ortega,Palito y Sus Inolvidables Canciones,Despeinada (Remastered),2:34
Yelle,Pop Up,Tu Es Beau,5:47
Yelle,Complètement Fou,Complètement Fou,3:52
Yelle,Pop Up,Je Veux Te Voir,4:21
Fergie,The Dutchess,Big Girls Don't Cry (Personal),4:16
Rita Ora,I Will Never Let You Down,I Will Never Let You Down,3:23
Lana Del Rey,Paradise,Blue Velvet,2:39
Lana Del Rey,Ultraviolence (Deluxe),Old Money,4:31
Lana Del Rey,Born to Die,Summertime Sadness,4:25
Britney Spears,The Singles Collection,Overprotected - Album Version - 2009 Remaster,3:19
Britney Spears,The Essential Britney Spears (Remastered),Do Somethin' - Remastered,3:23
Tove Lo,Lady Wood,Cool Girl,3:19
Big Big Love,Friendship,Tibias,5:00
Denise Rosenthal,El blog de la Feña,Si Tú Me Quieres,3:04
Madonna,Sticky & Sweet Tour,Miles Away - Live Bonus Track,4:49
Madonna,Celebration,Papa Don't Preach,4:29
Madonna,Celebration,La Isla Bonita,4:02
Madonna,Celebration,Open Your Heart,4:12
Madonna,Casino Twilight Dogs,Sorry,4:54
Miranda!,Fuerte,Ahora Que Soy Cantante,3:03
Mon Laferte,Amárrame,Amárrame,3:27
Lady Gaga,JOANNE (Deluxe),Just Another Day,2:58
Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,Part of Me,3:36
t.A.T.u.,Waste Management,Running Blind,3:41
Ariana Grande,Yours Truly,Daydreamin',3:31
Gwen Stefani,This Is What the Truth Feels Like,Naughty,3:08
Fifth Harmony,Reflection (Deluxe),BO$$,2:51
Elandh,Si Me Esperas Voy,Si Me Esperas Voy,4:17
Yuri,Acompañame,Para decir adiós,4:17
Thalía,LATINA,Desde Esa Noche,3:48
The Killers,Sawdust,Tranquilize,3:45
Bloc Party,Four,Truth,3:26
Franz Ferdinand,Franz Ferdinand,The Dark of the Matinée,4:03
Kasabian,48:13 (Deluxe),(Shiva),1:07
Carly Rae Jepsen,Emotion,Your Type,3:20
Jennifer Lopez,Dance Again...The Hits,Dance Again,3:57
Kelis,Food,Bless the Telephone,2:31
Lady Gaga,Born This Way (International Special Edition Version),Scheiße,3:45
Girls Aloud,Ten (Deluxe Edition),No Good Advice,3:48
Katy Perry,PRISM (Deluxe),This Is How We Do,3:23
Janet Jackson,Janet,If,4:31
Sophie Ellis-Bextor,Read My Lips,Murder on the Dancefloor,3:37
Nelly Furtado,Whoa Nelly! (Special Edition),Turn Off the Light,4:36
Miranda!,Safari,Nadie como tú - Versión acústica,3:05
Kali Mutsa,Souvenance,El jardín,3:43
Lana Del Rey,Ultraviolence (Deluxe),Brooklyn Baby,5:52
Lana Del Rey,Born to Die - The Paradise Edition,Video Games,4:02
The Smiths,You Can Play These Songs With Chords,This Charming Man,2:43
We Are Scientists,With Love And Squalor,Lousy Reputation,2:37
Miami Horror,All Possible Futures,Wild Motion (Set It Free),5:32
Miami Horror,All Possible Futures,American Dream,3:39
Miami Horror,The Shapes,Azimba,3:46
Miami Horror,The Shapes,Trapeze,3:52
Miami Horror,The Shapes,Leila,5:18
Miami Horror,Real Slow (Remixes),Real Slow (Robotaki Remix),4:55
Miami Horror,Illumination,Echoplex (feat. MAI),4:25
Miami Horror,Illumination,Sometimes,4:14
Miami Horror,The Shapes,Sign of the Times,4:39
Miami Horror,The Shapes,Leila (En Español),3:46
Miami Horror,The Shapes,Dark Love,3:39
Justice,A Cross The Universe,D.A.N.C.E Part 2,2:40
Justice,Woman,Love S.O.S,5:04
Justice,Woman,Stop,4:57
Justice,Woman,Alakazam !,5:11
Clubfeet,Heirs & Graces,Acapulco & LA,4:35
Miami Horror,All Possible Futures,Out of Sight,4:48
Yuri,Soy Así,Yo Te Amo Te Amo,3:22
Boys Like Girls,Boys Like Girls,The Great Escape,3:36
DJ Snake,Encore,Let Me Love You,3:25
Au Pairs,Stepping Out of Line - The Anthology,It's Obvious,3:55
Fármacos,Los Días Más Largos,Nuestra Piel,3:30
